Timestamp,Date,Symbol,Open,High,Low,Close,Volume_(BTC)
1.59E+12,2020-05-17 4:00,BTCUSD,9543.68,9569,9504,9516.75,21.8866626
1.59E+12,2020-05-17 3:00,BTCUSD,9522,9571.33,9504.69,9543.68,45.25970253
1.59E+12,2020-05-17 2:00,BTCUSD,9481.89,9554.44,9481.89,9522,38.27761
1.59E+12,2020-05-17 1:00,BTCUSD,9489.49,9526.5,9442.65,9481.89,58.70747398
1.59E+12,2020-05-17 0:00,BTCUSD,9390.23,9506.88,9333,9489.49,42.18714467
1.59E+12,2020-05-16 23:00,BTCUSD,9417.94,9437.93,9376.91,9390.23,14.61201605
1.59E+12,2020-05-16 22:00,BTCUSD,9388.54,9443.64,9364.59,9417.94,39.6500528
1.59E+12,2020-05-16 21:00,BTCUSD,9389.61,9412.07,9358.28,9388.54,56.56040586
1.59E+12,2020-05-16 20:00,BTCUSD,9333.93,9392.55,9300,9389.61,18.89897115
1.59E+12,2020-05-16 19:00,BTCUSD,9288.7,9349.97,9270.02,9333.93,10.24413491
1.59E+12,2020-05-16 18:00,BTCUSD,9316.47,9348.46,9265.34,9288.7,26.39732064
1.59E+12,2020-05-16 17:00,BTCUSD,9390.8,9398.17,9295.75,9316.47,43.21475052
1.59E+12,2020-05-16 16:00,BTCUSD,9369.48,9408.71,9319.89,9390.8,77.01217426
1.59E+12,2020-05-16 15:00,BTCUSD,9429.22,9439.93,9344.61,9369.48,45.38172868
1.59E+12,2020-05-16 14:00,BTCUSD,9457.92,9494.95,9400.12,9429.22,14.80154181
1.59E+12,2020-05-16 13:00,BTCUSD,9473.52,9531.99,9426.17,9457.92,53.26892486
1.59E+12,2020-05-16 12:00,BTCUSD,9405.58,9504.14,9405.58,9473.52,5.995699274
1.59E+12,2020-05-16 11:00,BTCUSD,9452.83,9455.13,9399.83,9405.58,5.490233148
1.59E+12,2020-05-16 10:00,BTCUSD,9411.1,9452.83,9373.9,9452.83,3.889349563
1.59E+12,2020-05-16 9:00,BTCUSD,9413.27,9436.77,9325.42,9411.1,14.42631595
1.59E+12,2020-05-16 8:00,BTCUSD,9388,9426.03,9357.78,9413.27,27.5448326
1.59E+12,2020-05-16 7:00,BTCUSD,9472.11,9503.4,9379.19,9388,16.21046851
1.59E+12,2020-05-16 6:00,BTCUSD,9478.63,9480.31,9425.25,9472.11,8.159011472
